"Note: variables that are named the same were recorded across multiple time points. Time point is indicated by a "".x"" at end of each repeated variable, where ""x"" is the corresponding wave of data collection (e.g., PFINeighEmpathy.1, PFINeighEmpathy.2, etc)",,
"Note: first set of variables with no ""."" at the end reflect demographics taken from multiple time points to make a single variable (mostly taken from time 1, 2, and 3)",,
Variable,Label,Values
ProlificID,,
Cohort,Which Prolific Cohort participant belongs to,Cohorts 1 or 2
TP1,Whether participated at time 1,
Pro_ID_test_incdnn_A,ProlificID match across time points,
Pro_ID_test_t1x4,Prolific ID times 1-4,
Pro_ID_test_t6,ProlificID time 6,
Pro_ID_test_t7,ProlificID time 7,
Pro_ID_test_t8,ProlificID time 8,
Pro_ID_test_t9,ProlificID time 9,
Pro_ID_test_t10,ProlificID time 10,
Pro_ID_test_t11,ProlificID time 11,
Pro_ID_test_t12,ProlificID time 12,
Pro_ID_test_t13,ProlificID time 13,
Pro_ID_test_t14,ProlificID time 14,
CurrentCountry,Country of residence,
Region,Region of residence,
RegionNumeric,Numeric value for region,"0 = other, 1 = north america, 2 = UK/Ireland, 3 = Europe"
Age,,
Sex,,
Sex.Other,,
Children,Number of children,
Under12,number of children under 12,
Over12,number of children over 12,
Education,,"1 = less than high school, 8 = PhD or professional degree"
SubjectiveSES,Please choose the number associated with the rung that best represents where you think you stand on the ladder. - 1,"1 = much worse off than other people, 10 = much better off than other people "
Ethnicity,,"1 = Asian, 2 = Hispanic, 3 = White, 4 = Black, 5 = Native"
EthnicityOther,,
English,Is English your first language?,"1 = Yes, 2 = No"
Fluent,Do you consider yourself to be fluent in English?,"1 = Yes, 2 = No"
BornCountry,What country were you born in?,
LivingSituation,What is your current living situation?,"1 = livig alone, 2 = living with non-family, 3 = living with parents, 4 = living with partner and children, 5 = living with partner without children, 6 = living with partner and non-family, 7 = living with just children, 8 = living with extended family)"
Preexisting,Do you have any pre-existing health conditions that require you to take extra precautions to avoid being sick?,
PreexistWhat,"If yes, what is the complication?",
Age.1,,
Sex.1,,
SexOther.1,,
Children.1,,
Under12.1,,
Over12.1,,
Education.1,,
SSES.1,,
Ethnicity.1,,
EthnicityOther.1,,
English.1,,
Fluent.1,,
ZIP.1,,
CurrentCountry.1,,
BornCountry.1,,
LivingSituation.1,,
Preexisting.1,,
PreexistWhat.1,,
PFIclose1.1,"Please indicate how much you agree with the following questions on the scale provided. - When my close friend succeeds, I feel good.",
PFIclose2.1,"Please indicate how much you agree with the following questions on the scale provided. - When my close friend fails, I feel bad",
PFIclose3.1,Please indicate how much you agree with the following questions on the scale provided. - I feel that my close friend's gain is my gain.,
PFIclose4.1,Please indicate how much you agree with the following questions on the scale provided. - What is good for my close friend is good for me.,
PFIclose5.1,"Please indicate how much you agree with the following questions on the scale provided. - Honestly, I don't care whether my close friend thrives or not.",
PFIclose6.1,Please indicate how much you agree with the following questions on the scale provided. - My close friend and I rise and fall together,
CFIclose1.1,"CFIclose - When something good happens to my close friend, that is ...",
CFIclose2.1,"CFIclose - When something bad happens to my close friend, that is ...",
CFIclose3.1,"CFIclose - When my close friend succeeds, I feel ...",
CFIclose4.1,"CFIclose - When my close friend fails, I feel ...",
CFIclose5.1,CFIclose - My close friend's gain is ...,
CFIclose6.1,CFIclose - My close friend's loss is ...,
PFIAcq1.1,"Please indicate how much you agree with the following questions on the scale provided. - When my acquaintance succeeds, I feel good.",
PFIAcq2.1,"Please indicate how much you agree with the following questions on the scale provided. - When my acquaintance fails, I feel bad",
PFIAcq3.1,Please indicate how much you agree with the following questions on the scale provided. - I feel that my acquaintance's gain is my gain.,
PFIAcq4.1,Please indicate how much you agree with the following questions on the scale provided. - What is good for my acquaintance is good for me.,
PFIAcq5.1,"Please indicate how much you agree with the following questions on the scale provided. - Honestly, I don't care whether my acquaintance thrives or not.",
PFIAcq6.1,Please indicate how much you agree with the following questions on the scale provided. - My acquaintance and I rise and fall together,
CFIAcq1.1,"CFIAcq - When something good happens to my acquaintance, that is ...",
CFIAcq2.1,"CFIAcq - When something bad happens to my acquaintance, that is ...",
CFIAcq3.1,"CFIAcq - When my acquaintance succeeds, I feel ...",
CFIAcq4.1,"CFIAcq - When my acquaintance fails, I feel ...",
CFIAcq5.1,CFIAcq - My acquaintance's gain is ...,
CFIAcq6.1,CFIAcq - My acquaintance's loss is ...,
PSS1.1,"In the last month, how often have you been upset because of something that happened unexpectedly?",
PSS2.1,"In the last month, how often have you felt that you were unable to control the important things in your life?",
PSS3.1,"In the last month, how often have you felt nervous and “stressed”?",
PSS4.1,"In the last month, how often have you felt confident about your ability to handle your personal problems?",
PSS5.1,"In the last month, how often have you felt that things were going your way?",
PSS6.1,"In the last month, how often have you found that you could not cope with all the things that you had to do?",
PSS7.1,"In the last month, how often have you been able to control irritations in your life?",
PSS8.1,"In the last month, how often have you felt that you were on top of things?",
PSS9.1,"In the last month, how often have you been angered because of things that were outside of your control?",
PSS10.1,"In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",
Anxiety1.1,"Over the last two weeks, how often have you been bothered by the following problems? - Feeling nervous, anxious, or on edge",
Anxiety2.1,"Over the last two weeks, how often have you been bothered by the following problems? - Not being able to stop or control worrying",
Anxiety3.1,"Over the last two weeks, how often have you been bothered by the following problems? - Worrying too much about different things",
Anxiety4.1,"Over the last two weeks, how often have you been bothered by the following problems? - Trouble relaxing",
Anxiety5.1,"Over the last two weeks, how often have you been bothered by the following problems? - Being so restless that it's hard to sit still",
Anxiety6.1,"Over the last two weeks, how often have you been bothered by the following problems? - Becoming easily annoyed or irritable",
Anxiety7.1,"Over the last two weeks, how often have you been bothered by the following problems? - Feeling afraid as if something awful might happen",
PerceptionsRisk.1,Please answer the following questions on the scale provided. - How likely do you think it is that you will contract COVID19?,
PerceptionsRisk2.1,Please answer the following questions on the scale provided. - How likely is it that the epidemic will get a lot worse before it gets better?,
PerceptionsRisk3.1,"Please answer the following questions on the scale provided. - How likely are you to avoid places where you might contract the virus (school, work, hospitals, etc.)?",
Riskmanagementtransfer.1,Please indicate how much you agree with the following statements on the scale provided. - I am likely to ask parents or friends for help preparing for the COVID19 epidemic.,
Riskmanagementretention.1,Please indicate how much you agree with the following statements on the scale provided. - I have been stocking up on food and supplies so that I am prepared for the COVID19 epidemic.,
Riskmanagementreduction.1,Please indicate how much you agree with the following statements on the scale provided. - I try to reduce my risk of getting COVID19 by doing things like washing my hands often.,
RiskmanagementAvoid1.1,"Please indicate how much you agree with the following statements on the scale provided. - I completely avoid situations that could put me at risk of contracting COVID19, for example staying away from large events where there have been cases.",
